epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1_score
1,1.658977281859977,0.4156428955998238,1.92505552482605,0.2866,0.2969688890453707,0.28659999999999997,0.20284792492101783
2,1.4349577447623678,0.493416866526357,1.9862718309402465,0.2482,0.4804718161932067,0.24819999999999998,0.17832434930947522
3,1.35122679098022,0.5226371690078802,1.8551797315597534,0.361,0.42536753715119924,0.36100000000000004,0.3124082587577183
4,1.2604339824660598,0.5595418726445108,1.5704724514007569,0.4255,0.5166056549411983,0.4255,0.3923270966525542
5,1.2036916983004482,0.5724144682100729,1.5729075273513793,0.4161,0.549678576235436,0.4161,0.3737180604744188
6,1.1375943928188261,0.5973765356566003,1.4931418214797973,0.4506,0.5660217778143894,0.4506,0.4196452740256432
7,1.0822511644803574,0.6134305711908374,1.3966028091430664,0.4893,0.5701664221379431,0.48929999999999996,0.4700690842528287
8,1.0309352104747052,0.6336938965297831,1.496668622970581,0.4654,0.5925581777239376,0.4654000000000001,0.4233062938278976
9,0.993648001888146,0.6449512994958642,1.39443330078125,0.5028,0.5911797533241535,0.5028,0.49291788744471476
10,0.9420315807923295,0.6625715823992951,1.4567690870285035,0.4827,0.5903632553759435,0.4827,0.4609462525609757
11,0.8941855283217846,0.6787724536243943,1.4697173377990722,0.491,0.6079665811020897,0.491,0.45804262671064616
12,0.849733796103236,0.6943370368557584,1.2983090547561646,0.5449,0.6077037135796706,0.5448999999999999,0.533025585269108
13,0.8193682352530671,0.7073075228818951,1.3729135955810547,0.5307,0.6246680594050874,0.5307000000000001,0.5315575346984946
14,0.7701103499379022,0.7190543781508492,1.3361164688110352,0.5436,0.6221111636061596,0.5436000000000001,0.5391496109947389
15,0.7278165526691381,0.7399539914835299,1.6147070447921752,0.5196,0.6087594778468196,0.5196000000000001,0.49039981345313244
16,0.6962709945820424,0.7491067495472566,1.3334416734695436,0.5374,0.6217110887355418,0.5374,0.5205603966664146
17,0.6539436925333343,0.7647692232391954,1.3139247303009034,0.5788,0.6170207484988918,0.5788,0.5724189003361795
18,0.6194602776090687,0.7755371739024032,1.305665062713623,0.5793,0.6221066216201924,0.5793,0.571383517119365
19,0.5700317123208031,0.7953599921687632,1.4263282968521118,0.554,0.6328754030985368,0.554,0.5448983751764592
20,0.5300037081788554,0.8067152855954187,1.4055452247619629,0.5781,0.6168814495011227,0.5781,0.5688296594852134
21,0.48815180466660646,0.8256081444863198,1.4447436506271363,0.5734,0.6348873112147062,0.5733999999999999,0.5719093190156366
22,0.4552030987451561,0.8344672311683227,1.5062798627853393,0.5628,0.6199332601785998,0.5628,0.5577454963015378
23,0.40837346377144484,0.8537027066712349,1.5513381940841675,0.5721,0.6235948874988833,0.5721,0.5655347634464929
24,0.3783680927722233,0.8637854241104205,1.600668688392639,0.5555,0.5968607615680113,0.5555,0.547218248925733
25,0.3504060558866436,0.8716166609563898,1.6546399202346802,0.55,0.6130778946931585,0.55,0.5460557089366684
26,0.3100170346827451,0.8881112035632127,1.6955683935165404,0.5623,0.6230822767085326,0.5623,0.5611826467170741
27,0.2872537443951581,0.8979002496206745,1.6438885187149048,0.585,0.6231595468983279,0.585,0.5824339634528657
28,0.25247620159295986,0.9105770642650873,1.6783809146881103,0.5803,0.6094842320966622,0.5803,0.5730716703285997
29,0.22242641729843737,0.9199256032499633,1.7106755935668945,0.5889,0.6236204870674216,0.5889000000000001,0.5840647475384515
30,0.20229228686862777,0.9279526210170819,1.7598303775787354,0.5789,0.6174794515129383,0.5789000000000001,0.5792434233802457
